sku,status,record_state,title_full,title_short,code_short,ensemble,scoring,format,price_net,price_gross,tags,source_title_xlsx,source_title_wix,source_title_erp,conflict_flags,conflict_notes
XW-103,live,ACTIVE,Volksmusik - Band 3,Volksmusik - Band 3,VOLKSMUSIK_BAND_3,,,PHYSICAL,39.00,42.90,B2B,Volksmusik - Band 3,Volksmusik frisch gewaschen #3,#3 Volksmusik,TITLE_DRIFT,ERP title differs
XW-103.3,live,ACTIVE,Volksmusik - Band 3 - Zusatzstimme Horn 1 in F,Volksmusik - Band 3 - Zusatzstimme Horn 1 in F,VOLKSMUSIK_BAND_3_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 1 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#3 Volksmusik frisch gewaschen],ZST #3 Volksmusik: Hrn.1,TITLE_DRIFT,ERP title differs
XW-103.3-D,review,EXTERNAL_ONLY,ZST VM#3: Hrn.1 in F,ZST VM#3: Hrn.1 in F,ZST_VM_3_HRN_1_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#3: Hrn.1 in F,NOT_IN_XLSX_SOT,
XW-103.4,live,ACTIVE,Volksmusik - Band 3 - Zusatzstimme Horn 2 in F,Volksmusik - Band 3 - Zusatzstimme Horn 2 in F,VOLKSMUSIK_BAND_3_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 2 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#3 Volksmusik frisch gewaschen],ZST #3 Volksmusik: Hrn.2,TITLE_DRIFT,ERP title differs
XW-103.4-D,review,EXTERNAL_ONLY,ZST VM#3: Hrn.2 in F,ZST VM#3: Hrn.2 in F,ZST_VM_3_HRN_2_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#3: Hrn.2 in F,NOT_IN_XLSX_SOT,
XW-103.4_D,review,EXTERNAL_ONLY,VM#3 - 3.Stimme: Hrn.2 F,VM#3 - 3.Stimme: Hrn.2 F,VM_3_3_STIMME_HRN_2_F,,,DIGITAL,7.00,7.70,,,,VM#3 - 3.Stimme: Hrn.2 F,NOT_IN_XLSX_SOT,
XW-103.5,live,ACTIVE,Volksmusik - Band 3 - Zusatzstimme Tuba in B,Volksmusik - Band 3 - Zusatzstimme Tuba in B,VOLKSMUSIK_BAND_3_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Tuba in Bb,Zusatzstimmen TanzlMusi GEDRUCKT [#3 Volksmusik frisch gewaschen],ZST #3 Volksmusik: Tb. in Bb,TITLE_DRIFT,ERP title differs
XW-103.5-D,review,EXTERNAL_ONLY,ZST VM#3: Tuba in B,ZST VM#3: Tuba in B,ZST_VM_3_TUBA_IN_B,,,DIGITAL,7.00,7.70,,,,ZST VM#3: Tuba in Bb,NOT_IN_XLSX_SOT,
XW-103.6,live,ACTIVE,Volksmusik - Band 3 - Zusatzstimme Hrn/Btp. 1 in Es,Volksmusik - Band 3 - Zusatzstimme Hrn/Btp. 1 in Es,VOLKSMUSIK_BAND_3_ZUSATZSTIM,,,DIGITAL,7.00,7.70,,ZS - Hrn/Btp. 1 in Es,,ZST VM#1: Btp.1/Es,TITLE_DRIFT,ERP title differs
XW-104,live,ACTIVE,Volksmusik - Band 4,Volksmusik - Band 4,VOLKSMUSIK_BAND_4,,,PHYSICAL,39.00,42.90,B2B,Volksmusik - Band 4,Volksmusik frisch gewaschen #4,#4 Volksmusik,TITLE_DRIFT,ERP title differs
XW-104.3,live,ACTIVE,Volksmusik - Band 4 - Zusatzstimme Horn 1 in F,Volksmusik - Band 4 - Zusatzstimme Horn 1 in F,VOLKSMUSIK_BAND_4_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 1 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#4 Volksmusik frisch gewaschen],ZST #4 Volksmusik: Hrn.1,TITLE_DRIFT,ERP title differs
XW-104.3-D,review,EXTERNAL_ONLY,ZST VM#4: Hrn. 1 in F,ZST VM#4: Hrn. 1 in F,ZST_VM_4_HRN_1_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#4: Hrn. 1 in F,NOT_IN_XLSX_SOT,
XW-104.4,live,ACTIVE,Volksmusik - Band 4 - Zusatzstimme Horn 2 in F,Volksmusik - Band 4 - Zusatzstimme Horn 2 in F,VOLKSMUSIK_BAND_4_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 2 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#4 Volksmusik frisch gewaschen],ZST #4 Volksmusik: Hrn.2,TITLE_DRIFT,ERP title differs
XW-104.4-D,review,EXTERNAL_ONLY,ZST VM#4: Hrn. 2 in F,ZST VM#4: Hrn. 2 in F,ZST_VM_4_HRN_2_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#4: Hrn. 2 in F,NOT_IN_XLSX_SOT,
XW-104.5,live,ACTIVE,Volksmusik - Band 4 - Zusatzstimme Tuba in B,Volksmusik - Band 4 - Zusatzstimme Tuba in B,VOLKSMUSIK_BAND_4_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Tuba in Bb,Zusatzstimmen TanzlMusi GEDRUCKT [#4 Volksmusik frisch gewaschen],ZST #4 Volksmusik: Tb. in Bb,TITLE_DRIFT,ERP title differs
XW-104.5-D,review,EXTERNAL_ONLY,ZST VM#4: Tb. in B,ZST VM#4: Tb. in B,ZST_VM_4_TB_IN_B,,,DIGITAL,7.00,7.70,,,,ZST VM#4: Tb. in Bb,NOT_IN_XLSX_SOT,
XW-104.6,live,ACTIVE,Volksmusik - Band 4 - Zusatzstimme Hrn/Btp. 1 in Es,Volksmusik - Band 4 - Zusatzstimme Hrn/Btp. 1 in Es,VOLKSMUSIK_BAND_4_ZUSATZSTIM,,,DIGITAL,7.00,7.70,,ZS - Hrn/Btp. 1 in Es,,ZST VM#4: Btp.1/Es,TITLE_DRIFT,ERP title differs
XW-1201,live,ACTIVE,He Lippei,He Lippei,HE_LIPPEI_P,,,PRINT_AT_HOME,16.73,18.40,B2B,He Lippei,He Lippei,He Lippei,PRICE_DRIFT_WIX,"Wix gross=17.90, master gross=18.40"
XW-1202,live,ACTIVE,Kaserstatt,Kaserstatt,KASERSTATT,,,PHYSICAL,16.27,17.90,B2B,Kaserstatt,Kaserstatt Walzer,,TITLE_DRIFT,WIX title differs
XW-1203,live,ACTIVE,Schitouren Polka,Schitouren Polka,SCHITOUREN_POLKA_P,,,PRINT_AT_HOME,18.09,19.90,B2B,Schitouren Polka,Schitouren Polka,Schitouren Polka,PRICE_DRIFT_WIX,"Wix gross=17.90, master gross=19.90"
XW-200,live,ACTIVE,Ersatzheft [4-stimmig],Ersatzheft [4st],ERSATZHEFT_4ST,,4-stimmig,PHYSICAL,12.34,13.57,B2B,Ersatzheft,Ersatzheft,Ersatzheft,PRICE_DRIFT_WIX,"Wix gross=13.20, master gross=13.57"
XW-201.3,live,ACTIVE,#1 WeihnachtsBlech - Zusatzstimme Horn 1 in F [4-stimmig],#1 WeihnachtsBlech - Zusatzstimme Horn 1 in F [4st],1_WEIHNACHTSBLECH_ZUSATZSTIM_4ST,,4-stimmig,PHYSICAL,5.00,5.50,B2B,ZS - Horn 1 in F,Zusatzstimmen Blech4er GEDRUCKT [#1 WeihnachtsBlech],ZST #1 Weihn.Blech: Hrn.1,TITLE_DRIFT,ERP title differs
XW-201.3-D,review,EXTERNAL_ONLY,ZST #1 Weihn.Blech: Hrn.1,ZST #1 Weihn.Blech: Hrn.1,ZST_1_WEIHN_BLECH_HRN_1,,,DIGITAL,5.00,5.50,,,,ZST #1 Weihn.Blech: Hrn.1,NOT_IN_XLSX_SOT,
XW-201.4,live,ACTIVE,#1 WeihnachtsBlech - Zusatzstimme Horn 2 in F [4-stimmig],#1 WeihnachtsBlech - Zusatzstimme Horn 2 in F [4st],1_WEIHNACHTSBLECH_ZUSATZSTIM_4ST,,4-stimmig,PHYSICAL,5.00,5.50,B2B,ZS - Horn 2 in F,Zusatzstimmen Blech4er GEDRUCKT [#1 WeihnachtsBlech],ZST #1 Weihn.Blech: Hrn.2,TITLE_DRIFT,ERP title differs
XW-201.4-D,review,EXTERNAL_ONLY,ZST #1 Weihn.Blech: Hrn. 2,ZST #1 Weihn.Blech: Hrn. 2,ZST_1_WEIHN_BLECH_HRN_2,,,DIGITAL,5.00,5.50,,,,ZST #1 Weihn.Blech: Hrn. 2,NOT_IN_XLSX_SOT,
XW-201.5,live,ACTIVE,#1 WeihnachtsBlech - Zusatzstimme Tuba in B [4-stimmig],#1 WeihnachtsBlech - Zusatzstimme Tuba in B [4st],1_WEIHNACHTSBLECH_ZUSATZSTIM_4ST,,4-stimmig,PHYSICAL,5.00,5.50,B2B,ZS - Tuba in Bb,Zusatzstimmen Blech4er GEDRUCKT [#1 WeihnachtsBlech],ZST #1 Weihn.Blech: Tb. in Bb,TITLE_DRIFT,ERP title differs
XW-201.5-D,review,EXTERNAL_ONLY,ZST #1 Weihn.Blech: Tb. in B,ZST #1 Weihn.Blech: Tb. in B,ZST_1_WEIHN_BLECH_TB_IN_B,,,DIGITAL,5.00,5.50,,,,ZST #1 Weihn.Blech: Tb. in Bb,NOT_IN_XLSX_SOT,
XW-201.6,live,ACTIVE,#1 WeihnachtsBlech - Zusatzstimme Hrn/Btp. 1 in Es [4-stimmig],#1 WeihnachtsBlech - Zusatzstimme Hrn/Btp. 1 in Es [4st],1_WEIHNACHTSBLECH_ZUSATZSTIM_4ST,,4-stimmig,DIGITAL,5.00,5.50,,ZS - Hrn/Btp. 1 in Es,,ZST #1 Weihn.Blech: Btp.1/Es,TITLE_DRIFT,ERP title differs
XW-202.3,live,ACTIVE,#2 AlmenBlech - Zusatzstimme Horn 1 in F [4-stimmig],#2 AlmenBlech - Zusatzstimme Horn 1 in F [4st],2_ALMENBLECH_ZUSATZSTIMME_HO_4ST,,4-stimmig,PHYSICAL,5.00,5.50,B2B,ZS - Horn 1 in F,Zusatzstimmen Blech4er GEDRUCKT [#2 AlmenBlech],ZST #2 AlmenBlech: Hrn.1,TITLE_DRIFT,ERP title differs
XW-202.3-D,review,EXTERNAL_ONLY,ZST #2 AlmenBlech: Hrn.1,ZST #2 AlmenBlech: Hrn.1,ZST_2_ALMENBLECH_HRN_1,,,DIGITAL,5.00,5.50,,,,ZST #2 AlmenBlech: Hrn.1,NOT_IN_XLSX_SOT,
