sku,canonical_sku,legacy_sku_aliases,parent_sku,product_group_id,group_key,grouping_confidence,canonical_variant,variant_role,status,record_state,active,review_required,brand,catalog_line,category_primary,series,series_code,volume,work_title,product_kind,product_type,instrument,voice,transposition,register,clef,ensemble,scoring,voice_count,arrangement_variant,format,title_full,title_short,code_short,description,content_status,content_source,bullet_point_1,bullet_point_2,bullet_point_3,bullet_point_4,bullet_point_5,tags,price_net,vat_percent,price_gross,currency,price_source,stock_on_hand,stock_enabled,weight_grams,isbn13,isbn10,ean,asin,asin_source,asin_verified,fnsku,fnsku_status,amazon_seller_sku,amazon_status,amazon_product_type,amazon_product_id_type,amazon_product_id,amazon_fulfillment,amazon_quantity,amazon_title,amazon_item_name,amazon_description_html,sync_wix,wix_publish_eligible,wix_handle_id,wix_handle_ids_all,wix_visible,wix_collections,wix_media_urls,wix_description_html,sync_sevdesk,erp_category,sync_amazon,source_title_xlsx,source_title_wix,source_title_erp,title_source,source_of_truth,sot_row,sot_status,derived_from_sku,channel_cleanup_required,channel_cleanup_notes,conflict_flags,conflict_notes
XW-011,XW-011,,,e24d3612-8b3d-5a24-9da9-e7004028a329,NOTEN|div. noten nicht mehr erhältlich,MEDIUM,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Noten,,,,Div. Noten nicht mehr erhältlich,SCORE,physical,,,,,,,,,,PHYSICAL,Div. Noten nicht mehr erhältlich,Div. Noten nicht mehr erhältlich,DIV_NOTEN_NICHT_MEHR_ERHAELT,Diverse Noten eingestellt,SOURCE,WIX,Diverse Noten eingestellt,,,,,B2B,36.27,10.00,39.90,EUR,ERP_NET,0.00,true,175.0,,,,,,,,,,,,,,,,,,,true,false,product_62b061fc-f2b1-06e3-70f9-975fce024e38,product_62b061fc-f2b1-06e3-70f9-975fce024e38,true,Unveröffentlicht|B2B,4f718e_1c736f0082fe401e8687d62563fdfdba~mv2.jpg,<p>Diverse Noten eingestellt</p>,true,Unveröffentlichte Noten,false,,Diverse Noten eingestellt,Div. Noten nicht mehr erhältlich,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-012,XW-012,,,1e1a2dfb-28a6-5ea8-8da2-c6e5bb368705,DIENSTLEISTUNG|transkription,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Transkription,SERVICE,physical,,,,,,,,,,PHYSICAL,Transkription,Transkription,TRANSKRIPTION,Transkription ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,50.00,10.00,55.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Dienstleistung,false,,,Transkription,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-013,XW-013,,,b9000e6d-cd37-5595-a392-28a1f9c121ab,DIENSTLEISTUNG|händler-versand ermäßigt d,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Händler-Versand ermäßigt D,SERVICE,physical,,,,,,,,,,PHYSICAL,Händler-Versand ermäßigt D,Händler-Versand ermäßigt D,HAENDLER_VERSAND_ERMAESSIGT,Händler-Versand ermäßigt D ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,5.00,10.00,5.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Händler-Versand ermäßigt D,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-014,XW-014,,,3d7861aa-3423-5f5d-a2ec-c2519a9441f2,DIENSTLEISTUNG|händlerversand ermäßigt eu,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Händlerversand ermäßigt EU,SERVICE,physical,,,,,,,,,,PHYSICAL,Händlerversand ermäßigt EU,Händlerversand ermäßigt EU,HAENDLERVERSAND_ERMAESSIGT_E,Händlerversand ermäßigt EU ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,5.00,10.00,5.50,EUR,ERP_NET,-1.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Händlerversand ermäßigt EU,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-015,XW-015,,,a4675125-7518-5754-9f0c-809494f2c634,DIENSTLEISTUNG|diverse noten bläser4tett,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Diverse Noten Bläser4tett,SERVICE,physical,,,,,,,,,,PHYSICAL,Diverse Noten Bläser4tett,Diverse Noten Bläser4tett,DIVERSE_NOTEN_BLAESER4TETT,Diverse Noten Bläser4tett ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,150.00,10.00,165.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Dienstleistung,false,,,Diverse Noten Bläser4tett,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-016,XW-016,,,bc6f4bad-4dce-58ee-b524-5b2ab861c5a8,NOTEN|diverse noten kleine besetzung,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Noten,,,,Diverse Noten Kleine Besetzung,SCORE,digital,,,,,,Kleine Besetzung,,,,PRINT_AT_HOME,Diverse Noten Kleine Besetzung [Kleine Besetzung],Diverse Noten Kleine Besetzung [Kl.Bes.],DIVERSE_NOTEN_KLEINE_BESETZU_KB_P,Diverse Noten Kleine Besetzung [Kleine Besetzung] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Besetzung: Kleine Besetzung,Format: PRINT_AT_HOME,Kategorie: Noten,,,,175.00,10.00,192.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,XeisWorks_Print@Home,false,,,Diverse Noten Kleine Besetzung,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-017,XW-017,,,1ce46127-52d7-58d9-9102-8d4a6d28c50f,NOTEN|stimme individuell,LOW,true,CANONICAL,review,REVIEW,true,true,,Sonstige,Noten,,,,Zusatzstimme individuell,SCORE,digital,,,,,,,,,,PRINT_AT_HOME,Stimme individuell,Stimme individuell,ZUSATZSTIMME_INDIVIDUELL_P,Stimme individuell ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,Kategorie: Noten,,,,,4.55,10.00,5.01,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,true,,,,,,,true,XeisWorks_Print@Home,false,,,Zusatzstimme individuell,ERP_FALLBACK,,,EXTERNAL,,false,,SOT_GAP,Product-like channel item has no exact or safe title/category match in the XLSX SOT.
XW-018,XW-018,,,ea2af214-7aba-55be-8f01-711a95eee375,NOTEN|div. noten bläser5tett,LOW,true,CANONICAL,review,REVIEW,true,true,,Sonstige,Noten,,,,Div. Noten Bläser5tett,SCORE,digital,,,,,,,,,,PRINT_AT_HOME,Div. Noten Bläser5tett,Div. Noten Bläser5tett,DIV_NOTEN_BLAESER5TETT_P,Div. Noten Bläser5tett ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,Kategorie: Noten,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,true,,,,,,,true,XeisWorks_Print@Home,false,,,Div. Noten Bläser5tett,ERP_FALLBACK,,,EXTERNAL,,false,,SOT_GAP,Product-like channel item has no exact or safe title/category match in the XLSX SOT.
XW-019,XW-019,,,63ccafba-e7e4-5318-bf37-5df092f8c989,DIENSTLEISTUNG|ct-azv-spesen (schweiz),LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,CT-AZV-Spesen (Schweiz),SCORE,physical,,,,,,,,,,PHYSICAL,CT-AZV-Spesen (Schweiz),CT-AZV-Spesen (Schweiz),CT_AZV_SPESEN_SCHWEIZ,CT-AZV-Spesen (Schweiz) ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,3.18,10.00,3.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Standard,false,,,CT-AZV-Spesen (Schweiz),ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-020,XW-020,,,5a42242a-9110-5c02-9dfe-53050dc98a50,DIENSTLEISTUNG|diverse noten tanzlmusi,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Diverse Noten Tanzlmusi,SERVICE,physical,,,,,,,,,,PHYSICAL,Diverse Noten Tanzlmusi,Diverse Noten Tanzlmusi,DIVERSE_NOTEN_TANZLMUSI,Diverse Noten Tanzlmusi ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,218.18,10.00,240.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Dienstleistung,false,,,Diverse Noten Tanzlmusi,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-021,XW-021,,,c95c6577-1bc8-5751-a7a8-cc9b1b876a6d,NOTEN|diverse noten oberkrainer,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Noten,,,,Diverse Noten Oberkrainer,SCORE,digital,,,,,,,,,,PRINT_AT_HOME,Diverse Noten Oberkrainer,Diverse Noten Oberkrainer,DIVERSE_NOTEN_OBERKRAINER_P,Diverse Noten Oberkrainer ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,Kategorie: Noten,,,,,200.00,10.00,220.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,XeisWorks_Print@Home,false,,,Diverse Noten Oberkrainer,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-022,XW-022,,,857cdb03-9fa1-5932-8462-31502af6ce17,DIENSTLEISTUNG|versand deu,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Versand DEU,SERVICE,physical,,,,,,,,,,PHYSICAL,Versand DEU,Versand DEU,VERSAND_DEU,Versand DEU ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,5.36,10.00,5.90,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Versand DEU,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-023,XW-023,,,fafd41be-c6df-5432-98cd-6e7e76f030b9,NOTEN|diverse noten xeisworks,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Noten,,,,Diverse Noten XeisWorks,SCORE,digital,,,,,,,,,,PRINT_AT_HOME,Diverse Noten XeisWorks,Diverse Noten XeisWorks,DIVERSE_NOTEN_XEISWORKS_P,Diverse Noten XeisWorks ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,Kategorie: Noten,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,XeisWorks_Print@Home,false,,,Diverse Noten XeisWorks,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-024,XW-024,,,8ce1f275-7b87-531f-adbd-d5684dce4a6d,UNTERRICHTSHEFT|diverse noten musikheroes,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,MusikHeroes,MusikHeroes,Unterrichtsheft,,,,Diverse Noten MusikHeroes,EDITION,physical,,,,,,,,,,PHYSICAL,Diverse Noten MusikHeroes,Diverse Noten MusikHeroes,DiverseNotenMusikHeroes,Diverse Noten MusikHeroes ist eine Heftausgabe im MusikHeroes-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Unterrichtsheft,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,MusikHeroes,false,,,Diverse Noten MusikHeroes,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-025,XW-025,,,ea99a262-a5ce-5396-ab04-bbb29f643d18,DIENSTLEISTUNG|diverse noten mittlere besetzung,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Diverse Noten Mittlere Besetzung,SERVICE,physical,,,,,,,,,,PHYSICAL,Diverse Noten Mittlere Besetzung,Diverse Noten Mittlere Besetzung,DIVERSE_NOTEN_MITTLERE_BESET,Diverse Noten Mittlere Besetzung ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,250.00,10.00,275.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Dienstleistung,false,,,Diverse Noten Mittlere Besetzung,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-026,XW-026,,,af2fa448-babb-56f6-9171-d4119ab40d5e,NOTEN|gutschein,LOW,true,CANONICAL,review,REVIEW,true,true,,Sonstige,Noten,,,,Gutschein,SCORE,physical,,,,,,,,,,PHYSICAL,Gutschein,Gutschein,GUTSCHEIN,Gutschein ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Noten,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,true,,,,,,,true,XeisWorks_Hefte,false,,,Gutschein,ERP_FALLBACK,,,EXTERNAL,,false,,SOT_GAP,Product-like channel item has no exact or safe title/category match in the XLSX SOT.
XW-027,XW-027,,,f0eb3fd5-7fd9-5839-bc71-2b713f883bb2,DIENSTLEISTUNG|versand eu express,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Versand EU express,SERVICE,physical,,,,,,,,,,PHYSICAL,Versand EU express,Versand EU express,VERSAND_EU_EXPRESS,Versand EU express ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,6.82,10.00,7.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Versand EU express,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-028,XW-028,,,66517c9f-995d-5b8b-8f06-f0ea8df165a8,DIENSTLEISTUNG|rückerstattung zugfahrt,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Rückerstattung Zugfahrt,SCORE,physical,,,,,,,,,,PHYSICAL,Rückerstattung Zugfahrt,Rückerstattung Zugfahrt,RUECKERSTATTUNG_ZUGFAHRT,Rückerstattung Zugfahrt ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Standard,false,,,Rückerstattung Zugfahrt,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-029,XW-029,,,0a24fe2d-5bd7-5fcd-beee-714673ae590d,DIENSTLEISTUNG|rückerstattung parkgarage,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Rückerstattung Parkgarage,SCORE,physical,,,,,,,,,,PHYSICAL,Rückerstattung Parkgarage,Rückerstattung Parkgarage,RUECKERSTATTUNG_PARKGARAGE,Rückerstattung Parkgarage ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Standard,false,,,Rückerstattung Parkgarage,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
